,subject,age_group,run,path
165,278,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_278/moshiGO_278_run-1_pca12_varExpl_MNI.nii.gz
166,278,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_278/moshiGO_278_run-2_pca12_varExpl_MNI.nii.gz
167,278,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_278/moshiGO_278_run-3_pca12_varExpl_MNI.nii.gz
168,334,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_334/moshiGO_334_run-1_pca12_varExpl_MNI.nii.gz
169,334,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_334/moshiGO_334_run-2_pca12_varExpl_MNI.nii.gz
170,334,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_334/moshiGO_334_run-3_pca12_varExpl_MNI.nii.gz
171,321,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_321/moshiGO_321_run-1_pca12_varExpl_MNI.nii.gz
172,321,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_321/moshiGO_321_run-2_pca12_varExpl_MNI.nii.gz
173,321,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_321/moshiGO_321_run-3_pca12_varExpl_MNI.nii.gz
174,201,Adults,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_201/moshiGO_201_run-1_pca12_varExpl_MNI.nii.gz
175,201,Adults,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_201/moshiGO_201_run-2_pca12_varExpl_MNI.nii.gz
176,201,Adults,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_201/moshiGO_201_run-3_pca12_varExpl_MNI.nii.gz
177,266,Adults,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_266/moshiGO_266_run-1_pca12_varExpl_MNI.nii.gz
178,266,Adults,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_266/moshiGO_266_run-2_pca12_varExpl_MNI.nii.gz
179,266,Adults,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_266/moshiGO_266_run-3_pca12_varExpl_MNI.nii.gz
180,238,Adults,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_238/moshiGO_238_run-1_pca12_varExpl_MNI.nii.gz
181,238,Adults,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_238/moshiGO_238_run-2_pca12_varExpl_MNI.nii.gz
182,238,Adults,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_238/moshiGO_238_run-3_pca12_varExpl_MNI.nii.gz
